"PID","Q26_First.Click","Q26_Last.Click","Q26_Page.Submit","Q26_Click.Count","Q28_First.Click","Q28_Last.Click","Q28_Page.Submit","Q28_Click.Count","attCheck1","attCheck2","BZSH_1","BZSH_2","BZSH_3","BZSH_4","BZSH_5","BZSH_6","BZSH_7","spend_1","spend_2","spend_3","spend_4","spend_5","PANAS_1","PANAS_2","PANAS_3","PANAS_4","PANAS_5","PANAS_6","PANAS_7","PANAS_8","PANAS_9","PANAS_10","PANAS_11","PANAS_12","PANAS_13","PANAS_14","PANAS_15","PANAS_16","PANAS_17","PANAS_18","PANAS_19","PANAS_20","PANAS_21","subjHap_1","subjHap_2","subjHap_3","subjHap_4","ideo_general","ideo_social","ideo_economic","dob","gender","gender_3_TEXT","race","race_5_TEXT","edu","income","feedback","condition","age","passCheck","BZSH_5R","BZSH_6R","subjHap_4R","BZSH","PANASpos","PANASneg","subjHap","ideo","totalDonation","donated"
1,0,0,142.852,0,NA,NA,NA,NA,2,2,2,2,3,7,6,6,6,100,0,0,0,0,4,1,4,1,4,1,1,1,4,4,1,5,1,4,1,4,5,1,5,1,5,6,5,5,2,5,3,5,1978,"man","","white","",4,7,"",1,42,1,2,2,6,3.42857142857143,4.36363636363636,1,5.5,4.33333333333333,100,1
2,132.976,135.48,157.368,3,NA,NA,NA,NA,2,1,6,4,1,6,2,2,6,0,50,25,25,0,2,1,1,1,2,1,1,1,2,3,1,2,1,2,1,2,3,1,1,1,3,5,5,5,3,2,2,2,1983,"woman","","white","",3,5,"",1,37,1,6,6,5,5,2.09090909090909,1,5,2,100,1
3,40.845,110.256,164.39,3,NA,NA,NA,NA,2,1,1,2,1,6,5,5,4,0,100,0,0,0,3,1,2,1,3,1,1,1,2,2,1,3,1,1,1,3,4,1,2,1,3,6,5,5,2,3,3,3,1976,"woman","","white","",4,9,"",1,44,1,3,3,6,2.85714285714286,2.54545454545455,1,5.5,3,100,1
4,NA,NA,NA,NA,9.091,245.645,261.039,13,3,1,1,1,1,7,7,6,1,25,25,25,25,0,5,1,2,1,4,1,1,1,2,2,1,5,1,4,1,3,5,1,3,1,5,5,5,4,2,2,2,2,1992,"woman","","white","",4,11,"",2,28,1,1,2,6,2,3.63636363636364,1,5,2,100,1
5,NA,NA,NA,NA,14.497,22.61,224.553,4,3,1,2,2,2,4,6,6,2,0,100,0,0,0,3,2,2,2,2,4,2,1,2,2,2,2,3,3,3,2,2,2,2,2,2,4,2,4,4,1,1,2,1988,"woman","","white","",3,8,"",2,32,1,2,2,4,2.28571428571429,2.18181818181818,2.3,3.5,1.33333333333333,100,1
6,0,0,145.013,0,NA,NA,NA,NA,2,1,1,1,1,5,4,4,6,0,0,50,0,50,5,1,3,1,3,2,1,1,4,2,1,5,2,2,1,4,5,1,4,1,4,6,6,5,3,6,7,6,1948,"woman","","white","",2,6,"",1,72,1,4,4,5,3.14285714285714,3.72727272727273,1.2,5.5,6.33333333333333,50,1
7,NA,NA,NA,NA,12.429,131.3,141.655,39,3,1,1,2,3,5,5,6,3,0,39,0,0,61,3,1,1,1,2,2,1,1,3,2,1,4,2,2,2,2,4,1,3,1,3,7,6,6,1,2,3,3,1984,"woman","","white","",3,5,"",2,36,1,3,2,7,2.71428571428571,2.63636363636364,1.3,6.5,2.66666666666667,39,1
8,1.305,358.1,359.317,59,NA,NA,NA,NA,2,1,7,4,5,6,5,7,7,24,34,17,19,6,5,1,5,1,5,1,1,1,5,4,1,5,1,5,1,5,5,1,5,1,5,6,6,6,2,6,4,4,1983,"woman","","black","",4,6,"",1,37,1,3,1,6,4.71428571428571,4.90909090909091,1,6,4.66666666666667,94,1
11,93.064,128.3,160.194,2,NA,NA,NA,NA,2,1,3,3,4,5,5,5,5,0,0,0,0,100,3,1,1,1,2,2,1,1,1,2,1,2,2,1,1,1,2,2,2,1,2,5,5,5,3,3,3,5,1990,"man","","white","",4,7,"",1,30,1,3,3,5,3.71428571428571,1.72727272727273,1.3,5,3.66666666666667,0,0
12,6.947,147.116,147.804,59,NA,NA,NA,NA,2,2,2,5,1,7,3,3,6,50,50,0,0,0,2,1,2,2,4,2,1,1,2,3,1,3,1,3,2,3,2,1,2,1,3,5,3,3,5,2,2,4,1979,"woman","","white","",4,6,"",1,41,1,5,5,3,4.42857142857143,2.63636363636364,1.3,3.5,2.66666666666667,100,1
13,NA,NA,NA,NA,3.8,235.19,235.878,10,3,1,1,2,1,6,2,6,3,12,24,12,40,12,4,1,4,1,3,1,1,1,3,3,1,1,1,3,1,1,5,1,3,1,4,6,4,4,3,4,5,4,2000,"man","","white","",2,2,"Everything was fine",2,20,1,6,2,5,3,3.09090909090909,1,4.75,4.33333333333333,88,1
14,30.525,172.193,176.001,17,NA,NA,NA,NA,2,1,5,4,1,6,4,3,6,20,20,20,20,20,3,2,3,1,2,1,1,1,3,2,1,4,3,4,1,3,4,2,1,1,3,4,3,2,4,2,2,2,2000,"woman","","black","",2,6,"",1,20,1,4,5,4,4.42857142857143,2.90909090909091,1.4,3.25,2,80,1
15,NA,NA,NA,NA,5.541,225.059,225.566,68,3,1,6,5,7,7,7,7,6,0,47,0,0,53,4,3,4,4,3,5,4,5,3,4,4,5,3,4,4,4,4,3,3,4,4,7,5,6,6,6,6,5,1988,"man","","white","",5,12,"",2,32,1,1,1,2,4.71428571428571,3.81818181818182,3.9,5,5.66666666666667,47,1
