"PID","Q26_First.Click","Q26_Last.Click","Q26_Page.Submit","Q26_Click.Count","Q28_First.Click","Q28_Last.Click","Q28_Page.Submit","Q28_Click.Count","attCheck1","BZSH_1","BZSH_2","BZSH_3","BZSH_4","BZSH_5","BZSH_6","BZSH_7","affFore_1","totalDonation","keepToSelf","spend1_1","spend1_2","spend1_3","spend1_4","PANAS_1","PANAS_2","PANAS_3","PANAS_4","PANAS_5","PANAS_6","PANAS_7","PANAS_8","PANAS_9","PANAS_10","PANAS_11","PANAS_12","PANAS_13","PANAS_14","PANAS_15","PANAS_16","PANAS_17","PANAS_18","PANAS_19","PANAS_20","PANAS_21","ideo_general","ideo_social","ideo_economic","dob","gender","gender_3_TEXT","race","race_5_TEXT","edu","income","feedback","condition","age","passCheck","BZSH_5R","BZSH_6R","BZSH","PANASpos","PANASneg","ideo","donated"
1,NA,NA,NA,NA,0,0,141.727,0,3,1,2,4,4,6,5,2,25,100,0,25,25,25,25,3,4,1,3,4,1,4,1,2,2,2,3,1,2,4,3,3,5,4,4,1,2,2,2,1986,"man","","white","",3,6,"",2,34,1,2,3,2.57142857142857,2.54545454545455,2.9,2,1
2,25.226,25.226,142.778,1,NA,NA,NA,NA,2,4,2,1,5,6,6,4,9,20,80,0,100,0,0,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,4,2,2,1,1,1,1,1,1990,"woman","","other","white/asian",4,8,"",1,30,1,2,2,2.85714285714286,1.63636363636364,1.1,1,1
3,140.127,140.127,141.885,1,NA,NA,NA,NA,2,1,1,2,6,6,6,5,12,50,50,0,100,0,0,3,2,1,1,3,1,1,1,2,2,1,3,1,1,1,2,3,3,2,1,3,2,1,3,1989,"woman","","white","",5,12,"",1,31,1,2,2,2.71428571428571,2.27272727272727,1.3,2,1
4,NA,NA,NA,NA,6.688,179.879,181.238,19,3,2,2,2,4,6,5,2,19,40,60,25,25,25,25,4,2,4,2,4,1,2,1,4,4,2,4,1,4,2,4,4,3,4,2,4,2,2,2,1949,"woman","","white","",4,4,"none",2,71,1,2,3,2.42857142857143,4,1.8,2,1
5,4.606,4.606,143.372,1,NA,NA,NA,NA,2,2,3,2,6,4,4,5,20,0,100,NA,NA,NA,NA,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,3,2,1,1,3,3,NA,NA,1996,"man","","white","",2,6,"",1,24,1,4,4,3.71428571428571,2,1.4,NA,0
6,NA,NA,NA,NA,8.787,8.787,228.944,1,3,4,3,2,2,6,5,4,14,0,100,NA,NA,NA,NA,4,1,2,1,3,1,1,1,3,3,1,5,1,3,1,3,5,1,2,1,3,4,4,4,1989,"man","","white","",2,1,"None",2,31,1,2,3,2.85714285714286,3.27272727272727,1,4,0
7,0,0,145.801,0,NA,NA,NA,NA,2,3,5,2,7,5,5,5,20,0,100,NA,NA,NA,NA,3,4,1,2,3,3,3,1,1,3,3,4,3,4,4,4,4,1,2,4,4,3,3,5,2002,"woman","","asian","",2,7,"",1,18,1,3,3,4,3,2.8,3.66666666666667,0
8,NA,NA,NA,NA,2.746,280.961,282.147,19,3,2,2,2,6,6,6,6,34,100,0,0,0,100,0,4,1,3,1,4,1,1,1,4,5,1,4,1,4,1,5,4,1,5,1,5,4,3,3,1968,"man","","white","",5,12,"",2,52,1,2,2,3.14285714285714,4.27272727272727,1,3.33333333333333,1
9,NA,NA,NA,NA,1.029,24.846,143.416,18,3,1,1,3,4,5,5,3,16,100,0,0,100,0,0,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,3,2,2,1,1,3,1,2,2000,"man","","asian","",3,1,"",2,20,1,3,3,2.57142857142857,1.54545454545455,1.2,2,1
10,NA,NA,NA,NA,1.121,141.215,144.448,25,3,1,1,1,6,7,7,3,9,100,0,100,0,0,0,4,1,3,1,3,1,1,1,3,4,1,3,1,4,1,3,3,1,1,1,4,4,3,5,1991,"woman","","white","",3,11,"Love the charity work — one of the best surveys I have taken! ",2,29,1,1,1,2,3.18181818181818,1,4,1
