"PID","Q26_First.Click","Q26_Last.Click","Q26_Page.Submit","Q26_Click.Count","Q28_First.Click","Q28_Last.Click","Q28_Page.Submit","Q28_Click.Count","attCheck1","attCheck2","BZSH_1","BZSH_2","BZSH_3","BZSH_4","BZSH_5","BZSH_6","BZSH_7","spend_1","spend_2","spend_3","spend_4","spend_5","PANAS_1","PANAS_2","PANAS_3","PANAS_4","PANAS_5","PANAS_6","PANAS_7","PANAS_8","PANAS_9","PANAS_10","PANAS_11","PANAS_12","PANAS_13","PANAS_14","PANAS_15","PANAS_16","PANAS_17","PANAS_18","PANAS_19","PANAS_20","PANAS_21","ideo_general","ideo_social","ideo_economic","dob","gender","gender_3_TEXT","race","race_5_TEXT","edu","income","reason_charity","reason_keep","feedback","condition","age","passCheck1","passCheck2","BZSH_5R","BZSH_6R","BZSH","PANASpos","PANASneg","ideo","totalDonation","donated"
1,NA,NA,NA,NA,0.874,143.908,145.001,18,3,1,7,3,7,7,7,7,7,0,100,0,0,0,5,1,5,1,5,1,1,1,5,5,1,5,1,5,1,5,5,3,5,1,5,4,4,4,1988,"woman","","white","",4,1,"I like to help ","","None",2,33,1,1,1,1,4.71428571428571,5,1.2,4,100,1
2,NA,NA,NA,NA,29.837,386.363,389.178,12,3,1,3,3,2,6,5,7,6,0,0,0,0,100,2,1,2,1,5,1,1,1,2,1,1,4,1,2,1,4,4,1,4,1,3,4,4,4,1985,"woman","","white","",2,4,"","I decided to keep all of the bonus because I am currently unemployed with no set return date for work","Thank You for the Bonus! ",2,36,1,1,3,1,3.42857142857143,3,1,4,0,0
3,4.164,195.03,238.766,4,NA,NA,NA,NA,2,2,4,4,4,4,4,4,4,0,100,0,0,0,1,4,1,4,1,1,4,4,1,1,4,1,1,1,4,1,4,1,1,5,1,NA,NA,NA,1971,"woman","","white","",1,1,"because the homeless shouldnt be homeless,our government should be doing something to help them thats what there there for,and they dont get much help as the other organisations.","","im not political,so you should have something for me to check that im not political,i feel like im lying everytime you make me choose something im not!",1,50,1,1,4,4,4,1.27272727272727,3.2,NA,100,1
4,NA,NA,NA,NA,0,0,250.25,0,3,1,3,2,1,5,6,7,2,0,100,0,0,0,1,1,1,1,1,1,1,1,2,3,1,4,1,1,1,3,4,1,1,1,3,2,2,2,1996,"woman","","white","",5,1,"It was unexpected anyway and I would rather it go to a good cause than in my pocket","","",2,25,1,1,2,1,2.28571428571429,2.18181818181818,1,2,100,1
5,0,0,192.676,0,NA,NA,NA,NA,2,2,5,2,2,5,4,4,4,15,15,15,15,40,4,3,3,1,3,1,1,1,3,3,2,4,1,4,2,4,4,1,3,1,2,1,1,1,1965,"man","","white","",3,5,"Because I've always given to charities over the years though these days I tend to need help myself, it's still the right thing to do. ","","Pretty cool topic and survey, thanks!",1,56,1,1,4,4,3.71428571428571,3.36363636363636,1.4,1,60,1
6,5.208,17.999,106.507,4,NA,NA,NA,NA,2,2,1,2,1,6,6,6,5,12,13,12,13,50,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,3,1,2,1,2,1,1,1,1995,"woman","","white","",4,8,"It's a good thing to do","","",1,26,1,1,2,2,2.71428571428571,1.54545454545455,1.1,1,50,1
9,52.685,91.532,106.815,2,NA,NA,NA,NA,2,1,2,2,2,3,5,6,5,25,25,50,0,0,2,2,3,3,2,2,3,2,2,3,3,2,1,2,3,3,2,3,2,2,3,4,4,4,2000,"woman","","white","",3,2,"I feel if i can help others i should","","",1,21,1,0,3,2,2.71428571428571,2.36363636363636,2.4,4,100,1
10,NA,NA,NA,NA,0,0,106.043,0,3,1,1,1,1,3,7,7,2,0,50,0,50,0,4,1,2,2,2,2,1,1,4,1,2,4,2,4,3,4,4,3,1,1,2,1,1,1,1995,"man","","white","",3,1,"It was unexpected money, and I recognized some of the organizations that I've always wished I had the money or energy to help with more, so I didn't feel bad giving it away. I did feel bad that I didn't realize how much the bonus was and could have given more. ","","",2,26,1,1,1,1,1.42857142857143,2.90909090909091,1.8,1,100,1
11,0,0,107.673,0,NA,NA,NA,NA,2,2,4,4,4,5,5,5,5,0,50,0,50,0,2,2,1,2,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1,1,2,2,2,2,1998,"woman","","asian","",4,10,"I have the time to do studies like this, might as well share it with folks that don't have the time + need support","","",1,23,1,1,3,3,4,1.45454545454545,1.3,2,100,1
12,NA,NA,NA,NA,0,0,138.921,0,3,1,1,2,2,5,6,6,3,0,0,0,0,100,3,1,3,1,3,1,1,1,2,1,1,4,1,2,1,2,3,1,3,1,3,2,2,2,1996,"woman","","white","",5,2,"","$1 will go farther for me than it would in a general fund helping others.","",2,25,1,1,2,2,2.42857142857143,2.63636363636364,1,2,0,0
13,NA,NA,NA,NA,6.917,70.378,104.104,7,3,1,2,2,2,5,7,5,3,0,50,0,0,50,2,1,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,1,1,1,2,1,1,1,1989,"woman","","white","",5,4,"I believe in the work of non profits.","","none",2,32,1,1,1,3,2.57142857142857,1.72727272727273,1,1,50,1
14,2.811,2.811,231.596,1,NA,NA,NA,NA,2,1,1,1,1,1,3,2,5,0,100,0,0,0,4,1,1,1,4,2,1,1,5,3,1,5,2,5,1,5,5,1,5,1,5,4,4,6,1966,"man","","white","",3,12,"Because I hoped it would help someone who is homeless more than it would help me.","","",1,55,1,0,5,6,2.85714285714286,4.27272727272727,1.2,4.66666666666667,100,1
